Sample,Cell,Mother,MotherSize,BirthTime,Sb,GrowthRate,DivPar
698,698,698,2.0292975085351364,18.377647007498133,1.01464875,0.03850818,0.5
329,329,329,2.0296666595720065,18.382370529211343,1.01483333,0.03850818,0.5
1664,1664,1664,2.030524602755152,18.393345138856315,1.0152623,0.03850818,0.5
228,228,228,2.0309750023448796,18.39910468964617,1.0154875,0.03850818,0.5
330,330,330,2.0311589404469137,18.40145645777985,1.01557947,0.03850818,0.5
45,45,45,2.0312081462909273,18.40208555035633,1.01560407,0.03850818,0.5
1920,1920,1920,2.031445936905422,18.405125468599927,1.01572297,0.03850818,0.5
1759,1759,1759,2.03149454164312,18.40574678838517,1.01574727,0.03850818,0.5
257,257,257,2.0315746372205052,18.406770626656158,1.01578732,0.03850818,0.5
1470,1470,1470,2.0317628431186816,18.409176248593553,1.01588142,0.03850818,0.5
164,164,164,2.032803970443709,18.422479770444205,1.01640199,0.03850818,0.5
1160,1160,1160,2.0336405721417763,18.433164928083524,1.01682029,0.03850818,0.5
1862,1862,1862,2.0338284377400857,18.435563761263687,1.01691422,0.03850818,0.5
44,44,44,2.0340069063378543,18.437842400052205,1.01700345,0.03850818,0.5
307,307,307,2.0348962041395477,18.44919373442978,1.0174481,0.03850818,0.5
1709,1709,1709,2.03506425156192,18.451338198162045,1.01753213,0.03850818,0.5
439,439,439,2.035242464950368,18.453612196961895,1.01762123,0.03850818,0.5
1287,1287,1287,2.035272332362713,18.45399328498479,1.01763617,0.03850818,0.5
1967,1967,1967,2.03609025454464,18.46442724697906,1.01804513,0.03850818,0.5
741,741,741,2.0363744555488954,18.46805172373579,1.01818723,0.03850818,0.5
1523,1523,1523,2.037178229373429,18.478299687160874,1.01858911,0.03850818,0.5
1388,1388,1388,2.037602180914983,18.48370336004118,1.01880109,0.03850818,0.5
769,769,769,2.037696703413307,18.48490798752134,1.01884835,0.03850818,0.5
901,901,901,2.0378667762604974,18.487075314116918,1.01893339,0.03850818,0.5
1907,1907,1907,2.038537522284749,18.495621215952674,1.01926876,0.03850818,0.5
1450,1450,1450,2.0387997492989283,18.498961457187963,1.01939987,0.03850818,0.5
694,694,694,2.038848899448485,18.499587482771055,1.01942445,0.03850818,0.5
1330,1330,1330,2.039271567055094,18.504970378352205,1.01963578,0.03850818,0.5
1137,1137,1137,2.039509266167083,18.507997112173413,1.01975463,0.03850818,0.5
