S_b,S_d,gr,cycletime,time
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8259,0.0385,33.6363,18.0
 0.5,1.8993,0.0385,34.6594,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9218,0.0385,34.9647,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.6973,0.0385,31.739,18.0
 0.5,1.946,0.0385,35.2899,18.0
 0.5,1.7391,0.0385,32.3714,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8965,0.0385,34.6209,18.0
 0.5,1.9606,0.0385,35.4837,18.0
 0.5,1.6177,0.0385,30.4923,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9532,0.0385,35.3857,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7143,0.0385,31.9977,18.0
 0.5,1.9511,0.0385,35.3583,18.0
 0.5,1.926,0.0385,35.0217,18.0
 0.5,1.8976,0.0385,34.6357,18.0
 0.5,1.6826,0.0385,31.5126,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.831,0.0385,33.7079,18.0
 0.5,1.9904,0.0385,35.8757,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.5808,0.0385,29.8919,18.0
 0.5,1.9198,0.0385,34.9382,18.0
 0.5,1.6932,0.0385,31.6755,18.0
 0.5,1.9824,0.0385,35.7715,18.0
 0.5,1.5915,0.0385,30.0674,18.0
 0.5,1.9375,0.0385,35.1761,18.0
 0.5,1.8993,0.0385,34.6585,18.0
 0.5,1.6209,0.0385,30.5435,18.0
 0.5,1.9008,0.0385,34.6795,18.0
 0.5,1.8382,0.0385,33.8099,18.0
 0.5,1.8541,0.0385,34.0336,18.0
 0.5,1.9574,0.0385,35.4419,18.0
 0.5,1.9634,0.0385,35.5208,18.0
 0.5,1.9782,0.0385,35.7161,18.0
 0.5,1.7619,0.0385,32.7092,18.0
 0.5,1.6432,0.0385,30.8979,18.0
 0.5,1.9678,0.0385,35.5793,18.0
 0.5,1.7409,0.0385,32.3971,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9632,0.0385,35.5188,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7541,0.0385,32.5935,18.0
 0.5,1.7177,0.0385,32.0491,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8588,0.0385,34.0987,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9493,0.0385,35.3342,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.5931,0.0385,30.094,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.866,0.0385,34.2,18.0
 0.5,1.8097,0.0385,33.4049,18.0
 0.5,1.9232,0.0385,34.9837,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.997,0.0385,35.962,18.0
 0.5,1.9703,0.0385,35.6116,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8265,0.0385,33.6436,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9239,0.0385,34.993,18.0
 0.5,1.84,0.0385,33.8349,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.6198,0.0385,30.5247,18.0
 0.5,1.7961,0.0385,33.2076,18.0
 0.5,1.9822,0.0385,35.7685,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7933,0.0385,33.1683,18.0
 0.5,1.5532,0.0385,29.4346,18.0
 0.5,1.8623,0.0385,34.1481,18.0
 0.5,1.7621,0.0385,32.7124,18.0
 0.5,1.9363,0.0385,35.1594,18.0
 0.5,1.9861,0.0385,35.8191,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9512,0.0385,35.3597,18.0
 0.5,1.8186,0.0385,33.531,18.0
 0.5,1.8606,0.0385,34.1248,18.0
 0.5,1.611,0.0385,30.3846,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8161,0.0385,33.4955,18.0
 0.5,1.5564,0.0385,29.4887,18.0
 0.5,1.7364,0.0385,32.3302,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8368,0.0385,33.7908,18.0
 0.5,1.6107,0.0385,30.3797,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.6709,0.0385,31.3312,18.0
 0.5,1.6946,0.0385,31.6985,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9857,0.0385,35.8145,18.0
 0.5,1.506,0.0385,28.6345,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9889,0.0385,35.8561,18.0
 0.5,1.901,0.0385,34.6823,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7994,0.0385,33.2563,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7997,0.0385,33.2605,18.0
